Americanize Americanized Americanizing Americanizes
Europeanize Europeanized Europeanizing Europeanizes
Frenchify Frenchified Frenchifying Frenchifies
Latinise Latinised Latinising Latinises
Latinize Latinized Latinizing Latinizes
Nazify Nazified Nazifying Nazifies
Photostat Photostatted Photostatting Photostats
Romanize Romanized Romanizing Romanizes
abandon abandoned abandoning abandons
abase abased abasing abases
abash abashed abashing abashes
abate abated abating abates
abbreviate abbreviated abbreviating abbreviates
abdicate abdicated abdicating abdicates
abduce abduced abducing abduces
abduct abducted abducting abducts
abet abetted abetting abets
abhor abhorred abhorring abhors
abjure abjured abjuring abjures
ablate ablated ablating ablates
abnegate abnegated abnegating abnegates
abolish abolished abolishing abolishes
abominate abominated abominating abominates
abort aborted aborting aborts
abound abounded abounding abounds
abrade abraded abrading abrades
abreact abreacted abreacting abreacts
abridge abridged abridging abridges
abrogate abrogated abrogating abrogates
abscess abscessed abscessing abscesses
abscise abscised abscising abscises
abscond absconded absconding absconds
abseil abseiled abseiling abseils
absent absented absenting absents
absolve absolved absolving absolves
absorb absorbed absorbing absorbs
absquatulate absquatulated absquatulating absquatulates
abstain abstained abstaining abstains
abstract abstracted abstracting abstracts
abuse abused abusing abuses
abut abutted abutting abuts
accede acceded acceding accedes
accelerate accelerated accelerating accelerates
accent accented accenting accents
accentuate accentuated accentuating accentuates
accept accepted accepting accepts
access accessed accessing accesses
accession accessioned accessioning accessions
acclaim acclaimed acclaiming acclaims
acclimate acclimated acclimating acclimates
acclimatize acclimatized acclimatizing acclimatizes
accommodate accommodated accommodating accommodates
accompany accompanied accompanying accompanies
accomplish accomplished accomplishing accomplishes
accord accorded according accords
accost accosted accosting accosts
account accounted accounting accounts
accouter accoutered accoutering accouters
accoutre accoutred accoutring accoutres
accredit accredited accrediting accredits
accrete accreted accreting accretes
accrue accrued accruing accrues
acculturate acculturated acculturating acculturates
accumulate accumulated accumulating accumulates
accuse accused accusing accuses
accustom accustomed accustoming accustoms
ace aced acing aces
acerbate acerbated acerbating acerbates
acetify acetified acetifying acetifies
acetylate acetylated acetylating acetylates
ache ached aching aches
achieve achieved achieving achieves
achromatise achromatised achromatising achromatises
achromatize achromatized achromatizing achromatizes
acidify acidified acidifying acidifies
acidulate acidulated acidulating acidulates
acknowledge acknowledged acknowledging acknowledges
acquaint acquainted acquainting acquaints
acquiesce acquiesced acquiescing acquiesces
acquire acquired acquiring acquires
act acted acting acts
activate activated activating activates
actualize actualized actualizing actualizes
actuate actuated actuating actuates
acuminate acuminated acuminating acuminates
acupuncture acupunctured acupuncturing acupunctures
adapt adapted adapting adapts
add added adding adds
addict addicted addicting addicts
addle addled addling addles
address addressed addressing addresses
adduce adduced adducing adduces
adduct adducted adducting adducts
adhere adhered adhering adheres
adjoin adjoined adjoining adjoins
adjourn adjourned adjourning adjourns
adjudge adjudged adjudging adjudges
adjudicate adjudicated adjudicating adjudicates
adjure adjured adjuring adjures
adjust adjusted adjusting adjusts
admeasure admeasured admeasuring admeasures
administer administered administering administers
administrate administrated administrating administrates
admire admired admiring admires
admit admitted admitting admits
admonish admonished admonishing admonishes
adopt adopted adopting adopts
adore adored adoring adores
adorn adorned adorning adorns
adsorb adsorbed adsorbing adsorbs
adulate adulated adulating adulates
adulterate adulterated adulterating adulterates
adumbrate adumbrated adumbrating adumbrates
advance advanced advancing advances
advantage advantaged advantaging advantages
adventure adventured adventuring adventures
advert adverted adverting adverts
advertise advertised advertising advertises
advertize advertized advertizing advertizes
advise advised advising advises
advocate advocated advocating advocates
adz adzed adzing adzes
adze adzed adzing adzes
aerate aerated aerating aerates
aerify aerified aerifying aerifies
aerosolize aerosolized aerosolizing aerosolizes
aestivate aestivated aestivating aestivates
affect affected affecting affects
affiance affianced affiancing affiances
affiliate affiliated affiliating affiliates
affirm affirmed affirming affirms
affix affixed affixing affixes
afflict afflicted afflicting afflicts
