Harvey, Douglas Ross	A Bibliography of Writings about New Zealand Music published to the end of 1983	1 	Victoria University Press	Book or booklet - Paperback	10	false			bibliography	true		xii, 222 p. ; 30 cm					(c) D R Harvey 1985		1985												yes		0-86483-029-2			
McLean, Mervyn and Orbell, Margaret	Traditional Songs of the Maori 	2	A.H. & A.W. Reed 	book - hardcover	13	false			Commentary or analysis	true		324 p. of music ; 26 x 38 cm.			Traditional Maori chant is still performed today much as it was when Europeans first visited New Zeland over two centuries ago. From his recordings made in the field, Dr Mervyn McLean has chosen 50 songs representative of the most common types, and has transcribed their music. Margaret Orbell has translated and annotated them. This collection will be of much interest to students of music, poetry, and Maori tradition. It will also be an invaluable aid to people learning to sing the songs.		(c)Mervyn McLean and Margaret Orbell 1975		1975												yes		0-589-00748-3			
Moyle, Richard M.	The Sounds of Oceania	1	Auckland Institute and Museum �	book or booklet - paperback	16	false			history	true		53 p. : ill., maps ; 27 cm.			An illustrated Catalogue of the Sound Producing Instruments of Oceania in the Auckland Institute and Museum.		(c) Richard Moyle 1989		1989												yes		0-908623-31-3			
Moyle, Richard	Tongan Music	1	Auckland University Press 	book - hardcover 	17	false			Commentary or analysis	true		xiv, 256 p. : ill., facsims., maps, music ; 30 cm.			Tongan Music is essential reading for those seekinga more than superficial understanding f Polynesian music and one of the South Pacific's best preserved musical systems.		(c) Richard Moyle 1987		1987												yes		1-86940-007-0			
Norman, Philip (Editor)	Bibliography of N.Z. Compositions to 1982	3	Nota Bene Music 	Book or booklet - Paperback	19	false			bibliography	true		140 p. : ports. ; 21 x 30 cm.			Volume One: Second Edition (to 1982)				1982					 							yes		0-9597584-0-2			
Orbell, Margaret	Waiata - Maori Songs in History: an anthology	1	Reed Books 	book or booklet - paperback	20	false			history	true		116 p. : ill., facsims., ports. ; 24 cm.			In this new anthology Margaret Orbell places waiata of the nineteenth century in their social and political setting, conveying the poets' responses to their people's trauma. Her authoritative and illuminating commentaries will make this collection hugely interesting to a wide range of readers.  		(c) Margaret Orbell, 1991		1991												yes		0-7900-0183-7			
Paragon Arts	Profile Arts	1	New Zealand Trade Development Board 	book or booklet - paperback	21	false			industry manual - NZ	true			in annual reports		New horizons for the arts business - the foreign exchange earning potential of the arts in New Zealand.				1989												yes 		0-908862-01-6			
Shennan, Jennifer	The Maori Action Song - waiata a ringa, waiata kori, no whea tenei ahua hou?	1	NZ Council for Educational Research 	book or booklet - paperback	30	true	$20	BOSHENNAN	Commentary or analysis	true		xii, 100 p. : ill., ports. ; 18 x 24 cm.			How did the action song come to occupy so important a position in Maori life? What can it tell us about Maori customs, values and aspirations? These questions and more are covered in this book by Jennifer Shennan, who is a dancer, choreographer and reseacher with a special interest in Maori and Pacific dance.		(c) NZCER 1984	Studies in Education	1984					This book is respectfully dedicated to those who work with hope for the future at Hoani Waititi Marae, West Auckland							yes		0-908567-34-0			0111-2422
Simpson, Adrienne (Editor)	Opera in New ZealandAspects of History and Performance	1	Witham Press 	book or booklet - Paperback	31	false			history	true		151 p., [8] p. of plates : ill., music, ; 22 cm			Opera in New Zealand provides an insight into the colourful past and exciting present of an enduringly popular artform. Scholarly, yet full of human interest, Opera in New Zealand is a book for opera-lovers everywhere. It will also appeal to those whith an interest in New Zaland's cultural and social history and to all who enjoy well-told tales of artistic triumphs and tragedies.		(c) Adrienne Simpson 1990		1990					Dedicated to The New Zealand Opera Society							yes		0-473-00970-6			
THOMSON, John Mansfield	The Oxford History of New Zealand Music	1	Oxford University Press 	book - Hardcover	35	true	$20	BOOXHIST	history	true		xii, 315 p. : ill., music, ports. ; 25 cm			This book provides the first comprehensive account of music in New Zealand since the arrival of the Europeans. "The Oxford History of New Zealand Music is at once authoritative and entertaining; music-lovers and students alike will find it an essential guide to one of the world's newest and most vigorous musical cultures.	Entire stock is in boxes at the back of the library (c16)	(c) John Mansfield Thomson 1991		1991					To the memory of my parents Frances Jean Wemyss and Arthur Mansfield Thomson							yes		0-19-558176-8			
